schemaname,tablename,indexname,indexdef
public,11_tire_model,11_tire_model_brand_model_unique,"CREATE UNIQUE INDEX ""11_tire_model_brand_model_unique"" ON public.""11_tire_model"" USING btree (brand_name, model_name)"
public,11_tire_model,11_tire_model_pkey,"CREATE UNIQUE INDEX ""11_tire_model_pkey"" ON public.""11_tire_model"" USING btree (tire_model_id)"
public,11_tire_model,11_tire_model_tire_model_key_key,"CREATE UNIQUE INDEX ""11_tire_model_tire_model_key_key"" ON public.""11_tire_model"" USING btree (tire_model_key)"
public,11_tire_model,idx_11_tire_model_brand_name,"CREATE INDEX idx_11_tire_model_brand_name ON public.""11_tire_model"" USING btree (brand_name)"
public,11_tire_model,idx_11_tire_model_model_name,"CREATE INDEX idx_11_tire_model_model_name ON public.""11_tire_model"" USING btree (model_name)"
public,12_content,12_content_content_key_key,"CREATE UNIQUE INDEX ""12_content_content_key_key"" ON public.""12_content"" USING btree (content_key)"
public,12_content,12_content_pkey,"CREATE UNIQUE INDEX ""12_content_pkey"" ON public.""12_content"" USING btree (content_id)"
public,12_content,idx_12_content_content_type,"CREATE INDEX idx_12_content_content_type ON public.""12_content"" USING btree (content_type)"
public,12_content,idx_12_content_publication,"CREATE INDEX idx_12_content_publication ON public.""12_content"" USING btree (is_active, published_at DESC)"
public,13_content_bike_model,13_content_bike_model_pkey,"CREATE UNIQUE INDEX ""13_content_bike_model_pkey"" ON public.""13_content_bike_model"" USING btree (content_bike_model_id)"
public,13_content_bike_model,idx_13_content_bike_model_bike_model_id,"CREATE INDEX idx_13_content_bike_model_bike_model_id ON public.""13_content_bike_model"" USING btree (bike_model_id)"
public,13_content_bike_model,uq_13_content_bike_model,"CREATE UNIQUE INDEX uq_13_content_bike_model ON public.""13_content_bike_model"" USING btree (content_id, bike_model_id)"
public,14_content_bike_model_year,14_content_bike_model_year_pkey,"CREATE UNIQUE INDEX ""14_content_bike_model_year_pkey"" ON public.""14_content_bike_model_year"" USING btree (content_bike_model_year_id)"
public,14_content_bike_model_year,idx_14_content_bike_model_year_bike_model_year_id,"CREATE INDEX idx_14_content_bike_model_year_bike_model_year_id ON public.""14_content_bike_model_year"" USING btree (bike_model_year_id)"
public,14_content_bike_model_year,uq_14_content_bike_model_year,"CREATE UNIQUE INDEX uq_14_content_bike_model_year ON public.""14_content_bike_model_year"" USING btree (content_id, bike_model_year_id)"
public,15_content_part_link,15_content_part_link_pkey,"CREATE UNIQUE INDEX ""15_content_part_link_pkey"" ON public.""15_content_part_link"" USING btree (content_part_link_id)"
public,15_content_part_link,idx_15_content_part_link_content_id,"CREATE INDEX idx_15_content_part_link_content_id ON public.""15_content_part_link"" USING btree (content_id)"
public,15_content_part_link,idx_15_content_part_link_is_active,"CREATE INDEX idx_15_content_part_link_is_active ON public.""15_content_part_link"" USING btree (is_active)"
public,15_content_part_link,idx_15_content_part_link_part_type,"CREATE INDEX idx_15_content_part_link_part_type ON public.""15_content_part_link"" USING btree (part_type)"
public,16_content_topic,16_content_topic_pkey,"CREATE UNIQUE INDEX ""16_content_topic_pkey"" ON public.""16_content_topic"" USING btree (content_topic_id)"
public,16_content_topic,16_content_topic_topic_key_key,"CREATE UNIQUE INDEX ""16_content_topic_topic_key_key"" ON public.""16_content_topic"" USING btree (topic_key)"
public,16_content_topic,idx_16_content_topic_bike_model_id,"CREATE INDEX idx_16_content_topic_bike_model_id ON public.""16_content_topic"" USING btree (bike_model_id) WHERE (bike_model_id IS NOT NULL)"
public,16_content_topic,idx_16_content_topic_intent,"CREATE INDEX idx_16_content_topic_intent ON public.""16_content_topic"" USING btree (normalized_scope, normalized_subject, normalized_action, content_type, part_type, bike_model_id)"
public,16_content_topic,idx_16_content_topic_queue,"CREATE INDEX idx_16_content_topic_queue ON public.""16_content_topic"" USING btree (status, priority, created_at, content_topic_id)"
public,16_content_topic,uq_16_content_topic_content_id,"CREATE UNIQUE INDEX uq_16_content_topic_content_id ON public.""16_content_topic"" USING btree (content_id)"
public,17_content_asset_source,17_content_asset_source_content_id_idx,"CREATE INDEX ""17_content_asset_source_content_id_idx"" ON public.""17_content_asset_source"" USING btree (content_id)"
