table_name,constraint_name,constraint_definition
"""16_content_topic""",16_content_topic_content_type_check,"CHECK (content_type = ANY (ARRAY['MAINTENANCE'::text, 'DIY'::text, 'PARTS_GUIDE'::text, 'MODEL_GUIDE'::text]))"
"""16_content_topic""",16_content_topic_excluded_claims_array_check,CHECK (jsonb_typeof(excluded_claims) = 'array'::text)
"""16_content_topic""",16_content_topic_part_type_check,"CHECK (part_type IS NULL OR (part_type = ANY (ARRAY['TIRE'::text, 'BATTERY'::text, 'BRAKE'::text])))"
"""16_content_topic""",16_content_topic_priority_check,CHECK (priority >= 1 AND priority <= 3)
"""16_content_topic""",16_content_topic_published_content_check,CHECK (status <> 'PUBLISHED'::text OR content_id IS NOT NULL)
"""16_content_topic""",16_content_topic_required_coverage_array_check,CHECK (jsonb_typeof(required_coverage) = 'array'::text)
"""16_content_topic""",16_content_topic_risk_level_check,"CHECK (risk_level = ANY (ARRAY['LOW'::text, 'MEDIUM'::text, 'HIGH'::text]))"
"""16_content_topic""",16_content_topic_scope_bike_check,CHECK (normalized_scope = 'GENERIC'::text AND bike_model_id IS NULL OR normalized_scope = 'MODEL'::text AND bike_model_id IS NOT NULL)
"""16_content_topic""",16_content_topic_scope_check,"CHECK (normalized_scope = ANY (ARRAY['GENERIC'::text, 'MODEL'::text]))"
"""16_content_topic""",16_content_topic_status_check,"CHECK (status = ANY (ARRAY['PLANNED'::text, 'GENERATING'::text, 'REVIEW_REQUIRED'::text, 'APPROVED'::text, 'PUBLISHED'::text, 'BLOCKED'::text, 'DUPLICATE'::text, 'ARCHIVED'::text]))"
"""16_content_topic""",16_content_topic_target_reader_check,"CHECK (target_reader = ANY (ARRAY['BEGINNER'::text, 'GENERAL'::text, 'EXPERIENCED'::text]))"
"""17_content_asset_source""",17_content_asset_source_asset_role_check,"CHECK (asset_role = ANY (ARRAY['THUMBNAIL'::text, 'HERO'::text, 'BODY'::text, 'REFERENCE'::text]))"
"""17_content_asset_source""",17_content_asset_source_rights_status_check,"CHECK (rights_status = ANY (ARRAY['OWNED_APPROVED'::text, 'LICENSED_APPROVED'::text, 'PERMISSION_CONFIRMED'::text, 'PENDING_REVIEW'::text, 'REJECTED'::text, 'NOT_REQUIRED'::text]))"
"""17_content_asset_source""",17_content_asset_source_source_type_check,"CHECK (source_type = ANY (ARRAY['DIRECT_PHOTO'::text, 'BRAND_APPROVED'::text, 'OFFICIAL'::text, 'BLOG'::text, 'WIKIMEDIA'::text, 'LICENSED_WEB'::text, 'GENERATED'::text, 'OTHER'::text]))"
"""20_service_shop""",20_service_shop_verification_status_check,"CHECK (verification_status = ANY (ARRAY['DISCOVERED'::text, 'VERIFIED'::text, 'HOLD'::text]))"
"""21_service_shop_service""",21_service_shop_service_service_type_check,"CHECK (service_type = ANY (ARRAY['TIRE'::text, 'BATTERY'::text, 'BRAKE'::text, 'ENGINE_OIL'::text, 'CHAIN'::text, 'COOLANT'::text, 'GENERAL_REPAIR'::text]))"
"""21_service_shop_service""",21_service_shop_service_verification_status_check,"CHECK (verification_status = ANY (ARRAY['DISCOVERED'::text, 'VERIFIED'::text]))"
"""22_service_shop_discovery_checkpoint""",22_service_shop_discovery_checkpoint_checkpoint_id_check,CHECK (checkpoint_id = 1)
"""22_service_shop_discovery_checkpoint""",22_service_shop_discovery_checkpoint_last_status_check,"CHECK (last_status = ANY (ARRAY['IDLE'::text, 'RUNNING'::text, 'PASS'::text, 'PARTIAL'::text, 'FAILED'::text]))"
