table_name,constraint_name,constraint_definition
"""03_bike_model_year""",03_bike_model_year_front_tire_tube_type_check,"CHECK (front_tire_tube_type IS NULL OR (front_tire_tube_type = ANY (ARRAY['TL'::text, 'TT'::text, 'TL_TT'::text, 'UNKNOWN'::text])))"
"""03_bike_model_year""",03_bike_model_year_rear_tire_tube_type_check,"CHECK (rear_tire_tube_type IS NULL OR (rear_tire_tube_type = ANY (ARRAY['TL'::text, 'TT'::text, 'TL_TT'::text, 'UNKNOWN'::text])))"
"""03_bike_model_year""",chk_03_bike_model_year_year_range,CHECK (end_year IS NULL OR end_year >= start_year)
"""04_tire_product""",04_tire_product_position_type_check,"CHECK (position_type IS NULL OR (position_type = ANY (ARRAY['FRONT'::text, 'REAR'::text, 'BOTH'::text, 'COMMON'::text])))"
"""04_tire_product""",04_tire_product_tube_type_check,"CHECK (tube_type IS NULL OR (tube_type = ANY (ARRAY['TL'::text, 'TT'::text, 'TL_TT'::text, 'UNKNOWN'::text])))"
"""05_battery_product""",05_battery_product_battery_type_check,"CHECK (battery_type IS NULL OR (battery_type = ANY (ARRAY['LITHIUM'::text, 'AGM'::text, 'MF'::text, 'GEL'::text, 'LEAD_ACID'::text, 'UNKNOWN'::text])))"
"""05_battery_product""",05_battery_product_terminal_polarity_check,"CHECK (terminal_polarity IS NULL OR (terminal_polarity = ANY (ARRAY['L'::text, 'R'::text, 'CENTER'::text, 'UNKNOWN'::text])))"
"""06_brake_product""",06_brake_product_brake_type_check,"CHECK (brake_type IS NULL OR (brake_type = ANY (ARRAY['PAD'::text, 'DISC'::text, 'UNKNOWN'::text])))"
"""06_brake_product""",06_brake_product_position_type_check,"CHECK (position_type IS NULL OR (position_type = ANY (ARRAY['FRONT'::text, 'REAR'::text, 'COMMON'::text, 'UNKNOWN'::text])))"
"""07_bike_model_year_tire_product""",07_bike_model_year_tire_product_match_type_check,"CHECK (match_type = ANY (ARRAY['AUTO_SIZE_MATCH'::text, 'MANUAL'::text, 'VERIFIED'::text, 'REVIEW_REQUIRED'::text]))"
"""07_bike_model_year_tire_product""",07_bike_model_year_tire_product_position_type_check,"CHECK (position_type = ANY (ARRAY['FRONT'::text, 'REAR'::text]))"
"""08_battery_standard_product""",08_battery_standard_product_match_type_check,"CHECK (match_type = ANY (ARRAY['VERIFIED'::text, 'SELLER_CLAIMED'::text, 'MANUAL'::text, 'REVIEW_REQUIRED'::text]))"
"""09_bike_model_year_brake_product""",09_bike_model_year_brake_product_match_type_check,"CHECK (match_type = ANY (ARRAY['MANUAL'::text, 'VERIFIED'::text, 'REVIEW_REQUIRED'::text]))"
"""09_bike_model_year_brake_product""",09_bike_model_year_brake_product_position_type_check,"CHECK (position_type = ANY (ARRAY['FRONT'::text, 'REAR'::text]))"
"""10_bike_model_year_image""",chk_10_image_type,"CHECK (image_type = ANY (ARRAY['MAIN'::text, 'SIDE'::text, 'REAR'::text, 'METER'::text, 'DETAIL'::text, 'COLOR'::text]))"
"""12_content""",12_content_body_blocks_array_check,CHECK (jsonb_typeof(body_blocks) = 'array'::text)
"""12_content""",12_content_content_type_check,"CHECK (content_type = ANY (ARRAY['MAINTENANCE'::text, 'DIY'::text, 'PARTS_GUIDE'::text, 'MODEL_GUIDE'::text]))"
"""15_content_part_link""",15_content_part_link_part_type_check,"CHECK (part_type = ANY (ARRAY['TIRE'::text, 'BATTERY'::text, 'BRAKE'::text]))"
"""15_content_part_link""",15_content_part_link_scope_type_check,"CHECK (scope_type = ANY (ARRAY['CATEGORY'::text, 'MODEL'::text, 'PRODUCT'::text]))"
"""15_content_part_link""",15_content_part_link_target_check,CHECK (scope_type = 'CATEGORY'::text AND tire_model_id IS NULL AND tire_product_id IS NULL AND battery_product_id IS NULL AND brake_product_id IS NULL OR scope_type = 'MODEL'::text AND part_type = 'TIRE'::text AND tire_model_id IS NOT NULL AND tire_product_id IS NULL AND battery_product_id IS NULL AND brake_product_id IS NULL OR scope_type = 'PRODUCT'::text AND part_type = 'TIRE'::text AND tire_model_id IS NULL AND tire_product_id IS NOT NULL AND battery_product_id IS NULL AND brake_product_id IS NULL OR scope_type = 'PRODUCT'::text AND part_type = 'BATTERY'::text AND tire_model_id IS NULL AND tire_product_id IS NULL AND battery_product_id IS NOT NULL AND brake_product_id IS NULL OR scope_type = 'PRODUCT'::text AND part_type = 'BRAKE'::text AND tire_model_id IS NULL AND tire_product_id IS NULL AND battery_product_id IS NULL AND brake_product_id IS NOT NULL)
"""16_content_topic""",16_content_topic_attempt_count_check,CHECK (attempt_count >= 0 AND attempt_count <= 2)
"""16_content_topic""",16_content_topic_automation_level_check,"CHECK (automation_level = ANY (ARRAY['L1'::text, 'L2'::text]))"
"""16_content_topic""",16_content_topic_content_goal_check,"CHECK (content_goal = ANY (ARRAY['UNDERSTAND'::text, 'CHECK'::text, 'DIY'::text, 'SELECT'::text, 'MODEL_INFO'::text]))"
